PD_Home_&_Garden_8055.xls,[u'Currently In Stock']
Aeromax_Toys_Inc._8096.xls,"[u'100% Polyester/Exclusive of Decoration', u'Plastic/Nylon', u'100% Polyester', u'65% Polyester/35% Faux Leather/Exclusive of Decoration', u'Vinyl', u'Foam', u'Plastic', u'65% Polyester 35% Cotton/Exclusive of Decoration', u'80% Polyester/20% Cotton', u'65% Polyester/35% Synthetic', u'90% Cotton/10% Polyester', u'100% Cotton', u'100% Polyester Felt                         Bandana 100% Cotton', u'65% Cotton/35% Polyester', u'100% Polyester ', u'95% Cotton/5% Polyester', u'Felt & 100% Cotton', u'Shell 100% Cotton, Lining 100% Polyester', u'100% Nylon', u'100% Poly/Exclusive of Decoration-Gloves 65% Poly/35% Cotton', u'Diecast Metal', u'65% Polyester/35% Cotton, Exclusive of Decoration', u'65% Polyester/35% Cotton', u'Plastic/Rubber/Foam', u'100% Cotton/Exclusive of Decoration', u'']"
The_Crafters_Loft_8039.xls,[u'']
Barn_Cat_Mercantile_8074.xls,[u'']
Carson_Home_-_Flags_8012.xls,[u'']
A_Cheerful_Giver_7893.xls,[u'']
Wild_Wings_8097.xls,[u'']
Designs_Combined_Closeouts_8090.xls,[u'']
Carson_Home_Accents_7988.xls,[u'']
The_Country_House_Collection_7921.xls,"[u'In stock & shipping', u'', u'Out of Stock']"
Irvin's_Tinware_8071.xls,[u'In Stock']
Cheasapeake_&JD_Yeatts_Closeouts_7971.xls,"[u'Stock', u'']"
North_Country_Wind_Bells_7909.xls,"[u'', u""These windcatchers  are specifically for the Ships Bell\u2122 due to it's bronze colored coating and being the smallest bell."", u'* WINDCATCHERS MUST BE ORDERED TO ACCOMPANY BELLS.  BELL PRICES INCLUDED 1 WINDCATCHER. IF NO WINDCATCHER IS SELECTED THE DEFAULT BUOY WILL BE USED.']"
Hanna's_Handiworks_Closeouts_8058.xls,[u'']
Peaceful_Village_Jewelry_7962.xls,[u'']
Lifeforce_8075.xls,[u'In Stock']
Woodcrafters_Designs_8079.xls,"[u'In Stock', u'']"
Adams_and_Company_252.xls,"[u'', u'In stock & shipping (checked February 05, 2023)', u'out of stock', u'Order to ship after - January 25, 2023']"
Deb_&_Co._Handmade_Ornaments_7981.xls,[u'']
Uniquely_Coastal_7997.xls,[u'']
ELC_Designs_Group_8091.xls,[u'']
Special_T_Imports_7996.xls,[u'In Stock']
Amish_Star_259.xls,[u'']
Barn_Candles_8011.xls,"[u'', u'Sold out', u'Temporarily out of stock']"
